Descriá∆o;Preáo;Estoque Dispon°vel;Custo Unit†rio;Custo Total;Preáo Total;C¢digo;Categoria;Unidade;Fornecedor Principal;Estoque Min.;Estoque Max.;Abaixo Min.;Repor;Pràmio ?;Pontos Nec.;Markup %;NCM;C¢digo Extra;C¢digo Ref.;Marca;Tributaá∆o;CEST;Peso L°q.;Peso Bruto;Inclu°do em;Alterado em;Alterado por;Comiss∆o;Localizacao
ALCOOL GEL 70% DE 800 ml - MARCA : BRASCOM;R$ 12,32;38,;R$ 8,50;R$ 323,00;R$ 468,16;72;MATERIAL HOSPITALAR;;;20;100;N∆o;;N∆o;;;22071000   ALCOOL ETILICO N/DESNATURADO C/VOLTEOR ALCOOLICO>=;;;;;;;;02/04/2014 11:45:05;19/08/2020 08:33:32;admin;;
ALCOOL LIQUIDO 46ß - MARCA : SAFRA;R$ 5,43;2,;R$ 3,75;R$ 7,50;R$ 10,86;07;MATERIAL DE LIMPEZA;;;50;1000;Sim;998;N∆o;;;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;20/03/2014 13:28:05;17/07/2020 14:11:54;admin;;
ALCOOL LIQUIDO 70% - MARCA : FLAMAGEL;R$ 6,50;90,;R$ 3,65;R$ 328,50;R$ 585,00;57;MATERIAL HOSPITALAR;;;10;1000;N∆o;;N∆o;;78,08219178;22071000   ALCOOL ETILICO N/DESNATURADO C/VOLTEOR ALCOOLICO>=;;;;;;;;01/04/2014 18:47:33;19/01/2021 11:35:26;admin;;
ALCOOL LIQUIDO 70% DE 05 LITROS - MARCA : FLAMAGEL;R$ 30,00;26,;R$ 21,00;R$ 546,00;R$ 780,00;469;MATERIAL HOSPITALAR;;;50;2000;Sim;1974;N∆o;;42,85714286;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;20/06/2017 18:48:27;18/01/2021 11:12:36;admin;;
ALCOOL L÷QUIDO 92,8 GL - MARCA : AUDAX E NOBRE;R$ 6,37;925,;R$ 4,55;R$ 4.208,75;R$ 5.892,25;320;MATERIAL DE LIMPEZA;;;20;1000;N∆o;;N∆o;;40;22071000   ALCOOL ETILICO N/DESNATURADO C/VOLTEOR ALCOOLICO>=;;;;;;;;26/08/2014 13:43:32;28/12/2020 19:38:13;admin;;
ALGICIDA DE CHOQUE DE 01 LITRO;R$ 11,20;52,;R$ 8,00;R$ 416,00;R$ 582,40;349;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;40;48201000   LIVROS DE REGISTRO,DE CONTABILIDADE,BLOCOS DE NOTA;;;;;;;;20/10/2014 14:58:45;15/12/2020 16:02:59;admin;;
ALGOD«O HIDROFILO 100 g - MARCA : NATHALYA;R$ 3,27;27,;R$ 2,26;R$ 61,02;R$ 88,29;210;MATERIAL HOSPITALAR;;;150;2000;Sim;1973;N∆o;;;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;13/05/2014 16:17:18;23/05/2018 07:37:09;admin;;
ALGOD«O HIDROFILO 500 g - MARCA : NATHALYA;R$ 11,93;-2,;R$ 8,23;-R$ 16,46;-R$ 23,86;354;MATERIAL HOSPITALAR;;;150;2000;Sim;2002;N∆o;;;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;04/11/2014 15:24:30;18/06/2019 19:15:44;admin;;
AMACIANTE DE 05 LITROS - MARCA : KC;R$ 11,60;3,;R$ 8,00;R$ 24,00;R$ 34,80;61;MATERIAL DE LIMPEZA;;;10;2000;Sim;1997;N∆o;;;63079010   OUTROS ARTEFATOS CONFECCIONADOS,DE FALSO TECIDO;;;;;;;;02/04/2014 09:35:08;29/12/2020 18:37:22;admin;;
APARELHO DE BARBEAR - MARCA : BIC-UNIDADE;R$ 1,02;1305,;R$ 0,73;R$ 952,65;R$ 1.331,10;491;MATERIAL DESCARTAVEL;;;20;2000;N∆o;;N∆o;;40;82121020   APARELHOS DE BARBEAR,NAO ELETRICOS;;;;;;;;19/10/2016 13:24:35;24/07/2020 09:49:45;admin;;
AROAMTIZANTE DE 5 LITROS - TECNOLLAR;R$ 14,79;13,;R$ 10,20;R$ 132,60;R$ 192,27;126;MATERIAL DE LIMPEZA;;;1000;30000;Sim;29987;N∆o;;;39269040   ARTIGOS DE LABORATORIO OU DE FARMACIA,DE PLASTICOS;;;;;;;;09/04/2014 20:39:09;26/11/2020 14:48:01;admin;;
AROMATIZANTE DE 05 LITROS - MARCA : KC;R$ 11,60;0,;R$ 8,00;R$ 0,00;R$ 0,00;0182;MATERIAL HOSPITALAR;;;50;2000;Sim;2000;N∆o;;;30051090   OUTSPENSOS ADESIVOS,ARTIGOS ANALOGOS C/CAMADA ADES;;;;;;;;06/09/2018 16:08:12;27/01/2021 16:18:11;admin;;
AROMATIZANTE DE AMBIENTES NATU CLEAN - 500 ML;R$ 35,67;0,;R$ 24,60;R$ 0,00;R$ 0,00;82;MATERIAL DE EXPEDIENTE;;;500;10000;Sim;10000;N∆o;;;48171000   ENVELOPES DE PAPEL OU CARTAO;;;;;;;;02/04/2014 21:47:20;14/10/2020 10:14:39;admin;;
AROMATIZANTE DE AR 360 ml - MARCA : AUDAX;R$ 7,42;593,;R$ 5,12;R$ 3.036,16;R$ 4.400,06;86;MATERIAL DE LIMPEZA;;;20;1000;N∆o;;N∆o;;;33029090   OUTRAS MISTURAS UTILIZCOMO MATERIA BASICA P/INDUST;;;;;;;;02/04/2014 21:50:46;17/08/2020 15:21:43;admin;;
AROMATIZANTE DE AR 360 ml - MARCA : BOM AR;R$ 8,46;22,;R$ 5,84;R$ 128,48;R$ 186,12;140;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;33029090   OUTRAS MISTURAS UTILIZCOMO MATERIA BASICA P/INDUST;;;;;;;;11/04/2014 20:34:18;01/02/2021 17:44:37;admin;;
AVENTAL MANGA LONGA GRAMATURA 60 - UNIDADE;R$ 15,95;171,;R$ 11,00;R$ 1.881,00;R$ 2.727,45;40;MATERIAL HOSPITALAR;;;0;0;s/m;;N∆o;;45;39262000   VESTUARIO E SEUS ACESSORIOS,DE PLASTICOS,INCLLUVAS;;;;;;;;21/03/2014 21:07:53;24/07/2020 09:37:23;admin;;
AVENTAL MANGA LONGA MARCA : JARC - EMBALAGEM COM 10 UNIDADES;R$ 28,50;0,;R$ 14,65;R$ 0,00;R$ 0,00;272;MATERIAL HOSPITALAR;;;50;2000;Sim;2000;N∆o;;94,53924915;39262000   VESTUARIO E SEUS ACESSORIOS,DE PLASTICOS,INCLLUVAS;;;;;;;;26/06/2014 16:05:03;09/06/2020 16:43:28;admin;;
BALDE 12 LITROS PARA MOP - MARCA: CLEAN BRAZIL;R$ 30,00;4,;R$ 20,69;R$ 82,76;R$ 120,00;232;MATERIAL DE LIMPEZA;;;2;100;N∆o;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;28/05/2014 15:16:29;03/12/2020 14:24:59;admin;;
BALDE 14 LITROS PARA MOP - MARCA: BETANIN;R$ 39,15;12,;R$ 27,00;R$ 324,00;R$ 469,80;231;MATERIAL DE LIMPEZA;;;2;100;N∆o;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;28/05/2014 15:15:59;08/09/2020 14:53:33;admin;;
BALDE DE 08 LITROS COM ALÄA - MARCA : ARQPLAST;R$ 5,36;42,;R$ 3,70;R$ 155,40;R$ 225,12;193;MATERIAL PLASTICO;;;30;200;N∆o;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 09:59:42;12/01/2021 15:02:34;admin;;
BALDE DE 12 LITROS - PEDREIRO;R$ 8,48;4,;R$ 5,85;R$ 23,40;R$ 33,92;205;MATERIAL PLASTICO;;;10;100;Sim;96;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:16:02;10/11/2020 15:21:36;admin;;
BALDE DE 15 LITROS COM ALÄA - MARCA : ARQPLAST;R$ 9,64;55,;R$ 6,65;R$ 365,75;R$ 530,20;195;MATERIAL PLASTICO;;;30;200;N∆o;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:01:09;09/09/2020 17:34:37;admin;;
BALDE DE 20 LITROS COM ALÄA - MARCA : ARQPLAST;R$ 14,81;29,;R$ 10,22;R$ 296,38;R$ 429,49;196;MATERIAL PLASTICO;;;30;2000;Sim;1971;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:01:48;24/09/2020 14:47:57;admin;;
BALDE DE 60 LITROS COM TAMPA - MARCA : ARQPLAST;R$ 28,05;1,;R$ 19,35;R$ 19,35;R$ 28,05;154;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;16/04/2014 14:32:52;29/05/2020 18:36:09;admin;;
BALDE DE 90 LITROS COM TAMPA - MARCA : ARQPLAST;R$ 65,03;0,;R$ 44,85;R$ 0,00;R$ 0,00;201;MATERIAL PLASTICO;;;0;0;s/m;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:05:53;28/05/2020 10:13:43;admin;;
BALDE DE CLORO DE 10 Kg 65% DE CLORO ATIVO - MARCA : QCLOR;R$ 185,89;4,;R$ 137,70;R$ 550,80;R$ 743,56;472;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;35;29336919   OUTSCOMPOSTHETEROCCICLO TRIAZINA,C/CLORO LIGCOVALE;;;;;;;;13/09/2016 13:34:53;15/12/2020 16:05:17;admin;;
BALDE DE CLORO VERMELHO - MARCA : QCLOR;R$ 209,23;0,;R$ 144,30;R$ 0,00;R$ 0,00;194;MATERIAL DE LIMPEZA;;;30;200;Sim;200;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:00:20;10/10/2018 19:27:18;admin;;
BARRILHA DE 02 Kg - MARCA : CLOR;R$ 13,74;21,;R$ 9,48;R$ 199,08;R$ 288,54;473;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;28362010   CARBONATO DISSODICO ANIDRO;;;;;;;;13/09/2016 13:35:27;15/12/2020 16:07:16;admin;;
BASE PARA DESINFENTANTE DE 200 ml;R$ 3,62;-16,;R$ 2,50;-R$ 40,00;-R$ 57,92;233;MATERIAL DE LIMPEZA;;;10;100;Sim;116;N∆o;;;38084010   DESINFETANTES PARA USO DOMISSANITARIO DIRETO;;;;;;;;28/05/2014 15:17:14;08/01/2021 11:35:55;admin;;
BLOCO SANITARIO DE 30 G - MARCA : Q-ODOR;R$ 4,13;34,;R$ 2,95;R$ 100,30;R$ 140,42;522;MATERIAL DE LIMPEZA;;;100;3000;Sim;2966;N∆o;;40;34021190   OUTROS AGENTES ORGANICOS DE SUPERFICIE,ANIONICOS;;;;;;;;14/02/2017 13:41:58;23/05/2018 08:32:56;admin;;
BORRIFADOR DE 500 ml - MARCA : INTECH;R$ 7,50;100,;R$ 4,60;R$ 460,00;R$ 750,00;55;MATERIAL PLASTICO;;;20;1000;N∆o;;N∆o;;63,04347826;65069900   CHAPEUS E OUTROS ARTEFSDE OUTROS MATERIAS,EXCDE MA;;;;;;;;01/04/2014 13:17:40;13/01/2021 11:07:48;admin;;
CABO DE ALUMINIO;R$ 15,05;0,;R$ 10,75;R$ 0,00;R$ 0,00;48;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;40;39262000   VESTUARIO E SEUS ACESSORIOS,DE PLASTICOS,INCLLUVAS;;;;;;;;31/03/2014 10:31:35;13/01/2021 15:37:30;admin;;
CABO PLASTIFICADO;R$ 1,74;129,;R$ 1,20;R$ 154,80;R$ 224,46;226;MATERIAL DE LIMPEZA;;;50;1000;N∆o;;N∆o;;;96031000   VASSOURAS E ESCOVAS,DE MATERIAS VEGETAIS EM FEIXES;;;;;;;;23/05/2014 19:22:39;29/03/2019 17:53:31;admin;;
CADEIRA PLASTICA SEM BRAÄO - MARCA : PLASTMASTER;R$ 26,10;5,;R$ 18,00;R$ 90,00;R$ 130,50;112;MATERIAL PLASTICO;;;50;2000;Sim;1995;N∆o;;;94037000   MOVEIS DE PLASTICOS;;;;;;;;04/04/2014 19:22:11;12/12/2019 08:51:13;admin;;
CAFê ∑ VACUO 250 g - MARCA : MARATµ;R$ 5,19;211,;R$ 3,58;R$ 755,38;R$ 1.095,09;73;MATERIAL ALIMENTICIO;;;100;1000;N∆o;;N∆o;;;09012100   CAFE TORRADO,NAO DESCAFEINADO;;;;;;;;02/04/2014 15:58:28;03/12/2020 11:11:49;admin;;
CAFETEIRA - MARCA : AMVOX;R$ 46,06;3,;R$ 31,77;R$ 95,31;R$ 138,18;322;;;;0;0;s/m;;N∆o;;;85167100   APARELHOS P/PREPARACAO DE CAFE OU DE CHA,ELETROTER;;;;;;;;28/08/2014 19:03:56;23/05/2018 08:36:35;admin;;
CAIXA DE PERFURO CORTANTE DE 07 LITROS - DESCARBOX;R$ 3,92;40,;R$ 2,71;R$ 108,40;R$ 156,80;206;MATERIAL HOSPITALAR;;;0;0;s/m;;N∆o;;;83059000   MOLAS P/PAPEIS,OUTSOBJSDE ESCRITORIO,DE METAIS COM;;;;;;;;13/05/2014 10:16:30;23/09/2020 11:48:06;admin;;
CAIXA DE PERFURO CORTANTE DE 13 LITROS - MARCA : DESCARBOX;R$ 5,11;230,;R$ 3,53;R$ 811,90;R$ 1.175,30;38;MATERIAL DESCARTAVEL;;;30;1000;N∆o;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;21/03/2014 21:04:30;03/09/2020 08:30:11;admin;;
CAIXA PLASTICA DE 10 L - MARCA : PLASVALE;R$ 31,82;23,;R$ 21,95;R$ 504,85;R$ 731,86;422;MATERIAL PLASTICO;;;20;100;N∆o;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;14/10/2015 10:05:15;25/06/2020 15:49:56;admin;;
CAIXA PLASTICA DE 8,2 L - MARCA : PLASVALE;R$ 23,21;3,;R$ 16,01;R$ 48,03;R$ 69,63;204;MATERIAL PLASTICO;;;20;100;Sim;97;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:15:11;25/01/2021 09:10:29;admin;;
CAMPO OPERATORIO 45 x 50 cm - PACOTE C/ 50 UND. - MARCA : KASMED;R$ 72,45;180,;R$ 49,97;R$ 8.994,60;R$ 13.041,00;505;MATERIAL HOSPITALAR;;;0;0;s/m;;N∆o;;;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;15/12/2016 09:10:03;04/08/2020 17:13:10;admin;;
CARTUCHO COLORIDO 662 - MARCA : HP;R$ 46,40;27,;R$ 29,00;R$ 783,00;R$ 1.252,80;518;MATERIAL DE INFORMATICA;;;0;0;s/m;;N∆o;;60;84733027   CARTUCHOS DE TINTA,P/IMPRESSORAS;;;;;;;;08/12/2016 18:41:44;15/12/2020 11:53:00;admin;;
CARTUCHO PRETO 662 - MARCA : HP;R$ 43,20;18,;R$ 27,00;R$ 486,00;R$ 777,60;517;MATERIAL DE INFORMATICA;;;0;0;s/m;;N∆o;;60;84733027   CARTUCHOS DE TINTA,P/IMPRESSORAS;;;;;;;;08/12/2016 18:41:00;15/12/2020 11:53:06;admin;;
CERA L÷QUIDA DE 05 LITROS  ARDOSIA INCOLOR - MARCA : INGLEZA;R$ 47,05;0,;R$ 32,45;R$ 0,00;R$ 0,00;149;MATERIAL DE LIMPEZA;;;2;100;Sim;100;N∆o;;;34052000   ENCAUSTICAS/PREPARSP/CONSERVSDE MOVEIS,ETCDE MADEI;;;;;;;;14/04/2014 19:00:50;08/09/2020 10:28:04;admin;;
CERA LIQUIDA DE 05 LITROS  ARDOSIA VERDE - MARCA : INGLEZA;R$ 63,23;7,;R$ 43,61;R$ 305,27;R$ 442,61;148;MATERIAL DE LIMPEZA;;;2;100;N∆o;;N∆o;;;34052000   ENCAUSTICAS/PREPARSP/CONSERVSDE MOVEIS,ETCDE MADEI;;;;;;;;14/04/2014 19:00:26;15/12/2020 11:07:52;admin;;
CERA L÷QUIDA DE 05 LITROS - MARCA : BRY;R$ 49,41;0,;R$ 34,08;R$ 0,00;R$ 0,00;151;MATERIAL DE LIMPEZA;;;2;100;Sim;100;N∆o;;;34052000   ENCAUSTICAS/PREPARSP/CONSERVSDE MOVEIS,ETCDE MADEI;;;;;;;;14/04/2014 19:01:43;09/11/2020 16:28:30;admin;;
CERA L÷QUIDA DE 05 LITROS AUTO BRILHO - MARCA : BRASCOM;R$ 50,75;5,;R$ 35,00;R$ 175,00;R$ 253,75;96;MATERIAL DE LIMPEZA;;;5;100;N∆o;;N∆o;;;34052000   ENCAUSTICAS/PREPARSP/CONSERVSDE MOVEIS,ETCDE MADEI;;;;;;;;03/04/2014 17:24:28;25/09/2020 08:53:50;admin;;
CERA L÷QUIDA DE 750 ml - MARCA : INGLEZA ;R$ 5,08;101,;R$ 3,51;R$ 354,51;R$ 513,08;08;MATERIAL HOSPITALAR;;;10;200;N∆o;;N∆o;;;34052000   ENCAUSTICAS/PREPARSP/CONSERVSDE MOVEIS,ETCDE MADEI;;;;;;;;20/03/2014 13:28:16;25/07/2019 09:02:14;admin;;
CERA LIQUIDA INGLEZA PRETA - 5 LITROS;R$ 69,54;4,;R$ 47,96;R$ 191,84;R$ 278,16;246;MATERIAL DE LIMPEZA;;;500;10000;Sim;9996;N∆o;;;48171000   ENVELOPES DE PAPEL OU CARTAO;;;;;;;;06/06/2014 16:31:04;09/11/2020 16:30:45;admin;;
CESTO DE 08 LITROS COM TAMPA - MARCA : ARQPLAST;R$ 4,46;0,;R$ 3,08;R$ 0,00;R$ 0,00;199;MATERIAL PLASTICO;;;30;200;Sim;200;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:04:39;08/06/2020 09:29:18;admin;;
CESTO DE 10 LITROS COM TAMPA PRETO - MARCA : TRILHA ;R$ 18,44;19,;R$ 12,72;R$ 241,68;R$ 350,36;207;MATERIAL PLASTICO;;;2;100;N∆o;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:17:40;17/08/2020 12:14:48;admin;;
CESTO DE 21 LITROS COM TAMPA ;R$ 15,51;1,;R$ 10,70;R$ 10,70;R$ 15,51;198;MATERIAL PLASTICO;;;30;200;Sim;199;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:04:09;31/07/2020 17:40:26;admin;;
CLARIFICANTE DE 01 LITRO - MARCA : CLOR;R$ 12,36;24,;R$ 8,53;R$ 204,72;R$ 296,64;475;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;28274921   HIDROXICLORETOS DE ALUMINIO;;;;;;;;13/09/2016 13:36:12;28/10/2019 09:19:02;admin;;
COLHER DESCARTAVEL - MARCA : APS - PACOTE COM 50 UNIDADES;R$ 2,37;2380,;R$ 1,64;R$ 3.903,20;R$ 5.640,60;229;MATERIAL DESCARTAVEL;;;20;1000;N∆o;;N∆o;;;82159100   COLHER,GARFO,CONCHA,ETCDE METCOMUNS,PRATEAD/DOUR/P;0;;;;;;;26/05/2014 20:59:16;31/10/2018 11:37:29;admin;;
COLHER DESCARTAVEL PARA SOBREMESA - MARCA : APS;R$ 1,76;185,;R$ 1,22;R$ 225,70;R$ 325,60;361;MATERIAL DESCARTAVEL;;;0;0;s/m;;N∆o;;;82159100   COLHER,GARFO,CONCHA,ETCDE METCOMUNS,PRATEAD/DOUR/P;;;;;;;;20/11/2014 21:01:17;23/05/2018 09:15:40;admin;;
COMPRESSA DE GAZE 13 FIOS - MARCA : MB TEXTIL;R$ 12,34;0,;R$ 8,82;R$ 0,00;R$ 0,00;274;MATERIAL HOSPITALAR;;;50;1000;Sim;1000;N∆o;;40;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;26/06/2014 18:09:20;06/05/2019 13:32:02;admin;;
COMPRESSA DE GAZE 13 FIOS - MARCA : MEDICAL TEXTIL- PCT C/300;R$ 12,41;24,;R$ 8,87;R$ 212,88;R$ 297,84;41;MATERIAL HOSPITALAR;;;200;3000;Sim;2976;N∆o;;40;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;21/03/2014 21:13:53;24/07/2020 09:48:54;admin;;
COPO DESCARTAVEL DE 100 ml - MARCA : TOTALPLAST - PACOTE COM 100 UNIDADES;R$ 2,38;671,;R$ 1,91;R$ 1.281,61;R$ 1.596,98;271;MATERIAL DESCARTAVEL;;;10;200;N∆o;;N∆o;;25;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;23/06/2014 11:23:47;19/11/2020 15:20:35;admin;;
COPO DESCARTAVEL DE 200 ml BRANCO - MARCA : COPOSCCHIO - PACOTE COM 100 UNIDADES;R$ 4,50;4559,;R$ 2,44;R$ 11.123,96;R$ 20.515,50;12;MATERIAL DESCARTAVEL;;;30;1000;N∆o;;N∆o;;84,42622951;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;20/03/2014 13:36:57;11/01/2021 08:20:03;admin;;
COPO DESCARTAVEL DE 200 ml TRANSPARENTE - MARCA : COPOSCCHIO - PACOTE COM 100 UNIDADES;R$ 3,53;17,;R$ 2,44;R$ 41,48;R$ 60,01;370;MATERIAL DESCARTAVEL;;;500;10000;Sim;9983;N∆o;;45;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;14/01/2015 19:09:24;21/09/2020 08:29:44;admin;;
COPO DESCARTAVEL DE 200 ml TRANSPARENTE PP - MARCA : COPOBEL - PACOTE COM 100 UNIDADES;R$ 3,72;14655,;R$ 2,49;R$ 36.490,95;R$ 54.516,60;325;MATERIAL DESCARTAVEL;;;50;10000;N∆o;;N∆o;;49,39759036;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;20/03/2014 13:35:53;29/01/2021 11:32:48;admin;;
COPO DESCARTAVEL DE 250 ml BRANCO - MARCA : COPOSCCHIO - PACOTE COM 100 UNIDADES;R$ 5,23;82,;R$ 3,88;R$ 318,16;R$ 428,86;157;MATERIAL DESCARTAVEL;;;500;10000;Sim;9918;N∆o;;35;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;24/04/2014 18:37:04;21/09/2020 08:28:10;admin;;
